common_id,name,address_pref,address_city,address_detail,contact,flood,landslide,storm_surge,earthquake,tsunami,large_fire,inland_flood,volcano,shelter_overlap,capacity,capacity_basis,notes,changed,new,address,gsi_common_id,latitude,longitude,coordinate_join_method
E3820100001201,愛光公園,愛媛県,松山市愛光町,395-1,,,1,1,1,1,,,,,1400,1.0,,,,愛媛県松山市愛光町395-1,E3820100001201,33.84643801,132.7497798,matched_by_id
E3820100002201,松山商業高等学校グラウンド,愛媛県,松山市旭町,71,(089)941-3751,,1,1,1,1,,,,1,13854,1.0,,,,愛媛県松山市旭町71,E3820100002201,33.84001712,132.7773883,matched_by_id
E3820100004201,安岡避難地,愛媛県,松山市安岡甲,64,,1,1,1,1,1,,,,,12500,1.0,,,,愛媛県松山市安岡甲64,E3820100004201,33.93346794,132.7747488,matched_by_id
E3820100006201,安城寺西公園,愛媛県,松山市安城寺町,1334-1,,,1,1,1,1,,,,,1400,1.0,,,,愛媛県松山市安城寺町1334-1,E3820100006201,33.88165353,132.7408482,matched_by_id
E3820100009201,久枝小学校グラウンド,愛媛県,松山市安城寺町,586-1,(089)925-4437,,1,1,1,1,,,,1,9311,1.0,,,,愛媛県松山市安城寺町586-1,E3820100009201,33.87019803,132.7395465,matched_by_id
E3820100010201,学校法人愛光学園グラウンド,愛媛県,松山市衣山,5-1610-1,(089)922-8980,1,,1,1,1,,,,1,47550,1.0,,,,愛媛県松山市衣山5-1610-1,E3820100010201,33.84520539,132.7350722,matched_by_id
E3820100014201,松山中央高等学校グラウンド,愛媛県,松山市井門町,1220,(089)957-1022,,1,1,1,1,,,,1,24186,1.0,,,,愛媛県松山市井門町1220,E3820100014201,33.80012386,132.7682185,matched_by_id
E3820100016201,三島公園,愛媛県,松山市井門町,934,,,1,1,1,1,,,,,2700,1.0,,,,愛媛県松山市井門町934,E3820100016201,33.79171139,132.783443,matched_by_id
E3820100021201,石井東小学校グラウンド,愛媛県,松山市越智,1-3-35,(089)957-7545,,1,1,1,1,,,,1,9180,1.0,,,,愛媛県松山市越智1-3-35,E3820100021201,33.80769579,132.7870463,matched_by_id
E3820100023201,越智公園,愛媛県,松山市越智３－２２１－１外,,,,1,1,1,1,,,,,2300,1.0,,,,愛媛県松山市越智３－２２１－１外,E3820100023201,33.81036808,132.7802465,matched_by_id
E3820100025201,立岩小学校グラウンド,愛媛県,松山市猿川原甲,49,(089)996-0221,1,1,1,1,1,,,,1,5813,1.0,,,,愛媛県松山市猿川原甲49,E3820100025201,33.97546757,132.8358154,matched_by_id
E3820100031201,旭中学校グラウンド,愛媛県,松山市下伊台町,1105-1,(089)977-4362,,1,1,1,1,,,,1,8976,1.0,,,,愛媛県松山市下伊台町1105-1,E3820100031201,33.87387799,132.8025546,matched_by_id
E3820100034201,伊台小学校グラウンド,愛媛県,松山市下伊台町,1438-1,(089)977-0201,,,1,1,1,,,,1,8070,1.0,,,,愛媛県松山市下伊台町1438-1,E3820100034201,33.878151434945,132.79856139254,matched_by_id
E3820100036201,伊台保育園グラウンド,愛媛県,松山市下伊台町,1493-1,(089)977-0335,1,1,1,1,1,,,,1,202,1.0,,,,愛媛県松山市下伊台町1493-1,E3820100036201,33.87786589,132.7991308,matched_by_id
E3820100037201,向陽第２公園,愛媛県,松山市下伊台町,489-102,,1,,1,1,1,,,,,1500,1.0,,,,愛媛県松山市下伊台町489-102,E3820100037201,33.87518635,132.8096238,matched_by_id
E3820100042201,北条公園（法橋運動広場）,愛媛県,松山市下難波甲,18-10,,,1,,1,1,,,,,21700,1.0,,,,愛媛県松山市下難波甲18-10,E3820100042201,33.9835598,132.7736915,matched_by_id
E3820100045201,日浦中学校グラウンド,愛媛県,松山市河中町,188-1,(089)977-5822,1,1,1,1,1,,,,1,3862,1.0,,,,愛媛県松山市河中町188-1,E3820100045201,33.90178287,132.8708725,matched_by_id
E3820100047201,日浦小学校グラウンド,愛媛県,松山市河中町甲,79-2,(089)977-2798,1,,1,1,1,,,,1,6565,1.0,,,,愛媛県松山市河中町甲79-2,E3820100047201,33.90115037,132.8720182,matched_by_id
E3820100050201,河野中須賀緑地,愛媛県,松山市河野中須賀,316-2,,,1,,1,,,,,,200,1.0,,,,愛媛県松山市河野中須賀316-2,E3820100050201,33.94512929,132.7678692,matched_by_id
E3820100051201,北条南中学校グラウンド,愛媛県,松山市河野別府,12,(089)994-0230,,,1,1,1,,,,1,22895,1.0,,,,愛媛県松山市河野別府12,E3820100051201,33.94629316,132.7804368,matched_by_id
E3820100055201,河野別府公園（北条文化の森公園）,愛媛県,松山市河野別府,921-1,,1,1,1,1,1,,,,,64500,1.0,,,,愛媛県松山市河野別府921-1,E3820100055201,33.957390973022,132.78120240704,matched_by_id
E3820100058201,会津公園,愛媛県,松山市会津町,11-6,,,1,,1,,,,,,2100,1.0,,,,愛媛県松山市会津町11-6,E3820100058201,33.86311106,132.7259963,matched_by_id
E3820100059201,すみれ公園,愛媛県,松山市会津町,16-16,,,1,,1,,,,,,600,1.0,,,,愛媛県松山市会津町16-16,E3820100059201,33.86366341,132.7281126,matched_by_id
E3820100060201,鴨川中学校グラウンド,愛媛県,松山市鴨川,2-7-19,(089)924-9041,,1,1,1,1,,,,1,6700,1.0,,,,愛媛県松山市鴨川2-7-19,E3820100060201,33.87348578,132.7505726,matched_by_id
E3820100061201,鴨川公園,愛媛県,松山市鴨川,3-1041-1,,1,1,1,1,1,,,,,2500,1.0,,,,愛媛県松山市鴨川3-1041-1,E3820100061201,33.87425029,132.7493929,matched_by_id
E3820100062201,萱町公園,愛媛県,松山市萱町,5-10-1,,,1,1,1,1,,,,,1400,1.0,,,,愛媛県松山市萱町5-10-1,E3820100062201,33.85042199,132.7566385,matched_by_id
E3820100064201,吉藤公園,愛媛県,松山市吉藤,2-481-1,,1,1,1,1,1,,,,,800,1.0,,,,愛媛県松山市吉藤2-481-1,E3820100064201,33.86936626,132.7590802,matched_by_id
E3820100066201,潮見小学校グラウンド,愛媛県,松山市吉藤,4-7-13,(089)978-0543,,1,1,1,1,,,,1,5234,1.0,,,,愛媛県松山市吉藤4-7-13,E3820100066201,33.87364451,132.7548337,matched_by_id
E3820100069201,松山少年鑑別所敷地内駐車場,愛媛県,松山市吉野町,3860,,1,1,1,1,1,,,,,970,1.0,,,,愛媛県松山市吉野町3860,E3820100069201,33.86059884887,132.73403318286,matched_by_id
E3820100071201,坂本幼稚園グラウンド,愛媛県,松山市久谷町,24,(089)963-1154,,1,1,1,1,,,,1,895,1.0,,,,愛媛県松山市久谷町24,E3820100071201,33.74942514,132.8250742,matched_by_id
E3820100072201,坂本小学校グラウンド,愛媛県,松山市久谷町,30,(089)963-1054,,1,1,1,1,,,,1,4500,1.0,,,,愛媛県松山市久谷町30,E3820100072201,33.74905182,132.8258733,matched_by_id
E3820100073201,山口公園,愛媛県,松山市久谷町６１５－１外,,,1,,1,1,1,,,,,2100,1.0,,,,愛媛県松山市久谷町６１５－１外,E3820100073201,33.73565066,132.8309003,matched_by_id
E3820100076201,奥久谷公園,愛媛県,松山市久谷町乙,1067-1,,1,1,1,1,1,,,,,8000,1.0,,,,愛媛県松山市久谷町乙1067-1,E3820100076201,33.72368989,132.8414387,matched_by_id
E3820100079201,窪田小学校グラウンド,愛媛県,松山市久米窪田町,307,(089)970-1533,,1,1,1,1,,,,1,8370,1.0,,,,愛媛県松山市久米窪田町307,E3820100079201,33.80127305,132.816471,matched_by_id
E3820100081201,北窪田公園,愛媛県,松山市久米窪田町,938-1,,,1,1,1,1,,,,,1800,1.0,,,,愛媛県松山市久米窪田町938-1,E3820100081201,33.80687401,132.8111239,matched_by_id
E3820100083201,久保公園,愛媛県,松山市久保,399-1,,,1,,1,,,,,,1900,1.0,,,,愛媛県松山市久保399-1,E3820100083201,33.93977683,132.7657698,matched_by_id
E3820100085201,学校法人松山聖陵学園松山聖陵高等学校グラウンド,愛媛県,松山市久万ノ台,1112,(089)924-8783,1,1,1,1,1,,,,1,13434,1.0,,,,愛媛県松山市久万ノ台1112,E3820100085201,33.85678964,132.7411481,matched_by_id
E3820100086201,松山盲学校グラウンド,愛媛県,松山市久万ノ台,112,(089)922-3655,,1,1,1,1,,,,1,5510,1.0,,,,愛媛県松山市久万ノ台112,E3820100086201,33.856428846184,132.74916703068,matched_by_id
E3820100087201,久万ノ台緑地,愛媛県,松山市久万ノ台,1421-1,,1,1,1,1,1,,,,,12000,1.0,,,,愛媛県松山市久万ノ台1421-1,E3820100087201,33.85777675,132.7373549,matched_by_id
E3820100088201,松山西中等教育学校グラウンド,愛媛県,松山市久万ノ台,1485-4,(089)922-8931,1,1,1,1,1,,,,1,21807,1.0,,,,愛媛県松山市久万ノ台1485-4,E3820100088201,33.85993135,132.7375535,matched_by_id
E3820100089201,松山大学久万ノ台グラウンド,愛媛県,松山市久万ノ台,1644,,1,1,1,1,1,,,,,46200,1.0,,,,愛媛県松山市久万ノ台1644,E3820100089201,33.86474775,132.7376076,matched_by_id
E3820100091201,久万ノ台公園,愛媛県,松山市久万ノ台乙１７４９－１外,,,1,1,1,1,1,,,,,11300,1.0,,,,愛媛県松山市久万ノ台乙１７４９－１外,E3820100091201,33.8604024,132.7388951,matched_by_id
E3820100092201,味酒小学校グラウンド,愛媛県,松山市宮西,2-2-21,(089)925-1447,,1,1,1,1,,,,1,5503,1.0,,,,愛媛県松山市宮西2-2-21,E3820100092201,33.84763794,132.7533506,matched_by_id
E3820100094201,河野小学校グラウンド,愛媛県,松山市宮内甲,9-1,(089)993-0160,,1,1,1,1,,,,1,7886,1.0,,,,愛媛県松山市宮内甲9-1,E3820100094201,33.95048211,132.7855949,matched_by_id
E3820100097201,椿公園,愛媛県,松山市居相,4-274-4,,,1,1,1,1,,,,,1000,1.0,,,,愛媛県松山市居相4-274-4,E3820100097201,33.80880115,132.7720277,matched_by_id
E3820100099201,空港通１，２公園,愛媛県,松山市空港通１－２４７外,,,,1,1,1,1,,,,,4000,1.0,,,,愛媛県松山市空港通１－２４７外,E3820100099201,33.8274808,132.7503708,matched_by_id
